単語,意味
statement,声明；主張；明細書
material,材料，素材；資料；生地
evidence,証拠
source,（～の）源，根源（of）；出所，情報源
community,（共同）社会，～界；地域社会；地域住民
technology,科学技術；応用技術
culture,文化；教養；耕作；養殖；培養
appropriate,（～に）適切な（for / to）
likely,ありそうな
possible,可能な；可能性のある
individual,個々の；個人の
public,公の；公衆の；公開の
common,共通の；普通の；一般の
certain,確信して；確かな；ある；一定の
similar,似ている，類似した；同様の
recent,最近の
major,主要な；大きい（ほうの）；長調の
patient,忍耐強い；患者
particular,特定の；特別の；（～について）やかましい（about）
physical,身体の；物質的な；物理学の
various,さまざまな；いくつかの
available,手に入る；利用できる；手が空いている
native,出生地の；原産の；生得の
political,政治（上）の
due,予定された；（支払）期日で；しかるべき
blank,空白の；無表情な；がらんとした
ancient,古代の；昔からの
correct,正しい；適切な
despite,～にもかかわらず
notice,に気づく
refer,言及する，関連する；参照する
approach,に近づく；に取り組む
wonder,かなと思う；（に）驚く（at）
imagine,（を）想像する；（を）推測する
recognize,を識別できる；を認める
solve,を解く，解明する；（困難など）を解決する
occur,起こる；心に浮かぶ；現れる
argue,と主張する；議論する
claim,と主張する；を（自分のものとして）要求する
express,を表す，述べる
draw,を引き出す；を引く；を描く；近づく
waste,を浪費する，無駄にする
advance,を進歩させる；を進める；進歩する；進む
spread,を広める；広がる
prepare,を準備する；を調理する；（～のために）準備をする（for）
gain,を獲得する；（を）増す
achieve,を達成する；を成し遂げる
establish,を確立する；を設立する
supply,を供給する
suppose,と思う；と仮定する
perform,（を）行う；（を）演じる，（を）演奏する
prefer,のほうを好む
determine,を決定する；を正確に知る
treat,を扱う；を治療する
prove,を証明する；判明する，わかる
apply,を適用［応用］する；申し込む；（～に）適用される（to / in）
mention,に言及する；と言う
communicate,（～と）情報交換をする（with）；を伝達する
contain,を含む；を収容する；（感情など）を抑える
contact,と連絡を取る；接触する
regard,を見なす；を見る；を評価する
respect,を尊敬する；を尊重する
search,捜す；を捜索する；を詳しく調べる
connect,をつなぐ；を関連づける
decline,減少する；衰退する；を断る
prevent,を妨げる；を防ぐ
suffer,苦しむ；患う；（苦痛など）を経験する
survive,を切り抜けて生き残る；より長生きする；生き延びる
publish,を出版する；を公表する
opportunity,機会
task,（課せられた）仕事，作業；課題；タスク
industry,産業；勤勉
medium,（情報伝達の）媒体；手段
economy,経済（状態）；経済圏；節約
policy,政策，方針；（個人の）主義
account,説明；勘定；口座
trade,貿易；商売，取引
model,模範；モデル；模型；型
figure,数字；姿；人物；図表
cell,細胞；電池；小さい部屋；監房
image,イメージ；像；映像；肖像
emotion,感情；情動
stress,ストレス；圧力；アクセント
decade,10年間
range,範囲；（山などの）山脈；射程距離
character,性格；特性；登場人物；文字
advantage,利点；有利な点
phrase,フレーズ；句；表現
damage,損害；被害；ダメージ
impact,影響；衝撃
method,方法；方式
resource,資源；手段
region,地域；地方
medicine,医学；薬；医薬品
detail,詳細；細部
feature,特徴；特色
function,機能；役割；関数
access,アクセス；接近
item,項目；品目；物品
income,収入；所得
attitude,態度；姿勢
site,場所；サイト；用地
aspect,側面；観点
structure,構造；建造物
habit,習慣；癖
link,リンク；接続
instance,例；事例
positive,肯定的な；積極的な
negative,否定的な；消極的な
complex,複雑な；複合の
current,現在の；流通している
mental,精神の；知的な
specific,特定の；具体的な
significant,重要な；意義深い
essential,不可欠な；本質的な
official,公式の；公認の
financial,財務の；金融の
academic,学術の；学問的な
aware,気づいている；認識している
worth,（…する）に値する（doing）；の価値がある
potential,潜在的な；可能性を秘めた
active,積極的な；活動的な；効力のある
digital,デジタル方式の；デジタル［数字］表示の
mobile,可動［移動］式の；流動性のある
novel,斬新な，目新しい
plastic,柔軟な；プラスチックの，ビニールの
chemical,化学の，化学的な
necessary,必要な
eventually,結局（は）
identify,を特定する；を（～と）同一視する（with）
represent,を表す；を代表する；に相当する
indicate,を指し示す；を述べる
manage,をなんとか成し遂げる；を管理する
attend,に出席する；（を）世話する；（～に）対処［対応］する（to）
maintain,を維持する；と主張する；を養う
survey,を調査する；をじろじろ見る；を概観する
replace,に取って代わる；を取り替える
sort,を（～に）分類する（into）；を（～から）えり分ける（from）
conduct,（調査・実験など）を実施する；を導く
associate,を結び付けて考える；（～と）交際する（with）
attempt,を試みる，企てる
promote,を促進する；〔通例受身形で〕昇進する
earn,を稼ぐ；を得る；をもたらす
unite,を団結させる；（を）結合する；団結する
feed,に食べ物［乳］を与える；に（～を）供給［補給］する（with）；餌を食べる
seek,を追い求める；（助けなど）を要請する
observe,に気づく；を観察する；を遵守する
reveal,を明らかにする；を見せる
estimate,と推定する；を見積もる；を評価する
reflect,を反映する；（を）反射する；（を）熟考する
attract,を引きつける
decrease,減少する；を減らす
ignore,を無視する
match,（と）合う；に匹敵する；一致する
define,を定義する；を明確にする
adapt,適応する；を（～に）適合させる（to）
contribute,貢献する，一因となる；（を）寄付する；（を）寄稿する
exchange,（を）交換する；両替する
display,を示す；を発揮する；を展示［陳列］する
respond,反応する；答える
hide,を隠す；隠れる
doubt,ではないと思う；を疑う
remove,を取り除く；を解雇する
wind,（ねじなど）を巻く；（道などが）曲がりくねる；巻きつく
assume,を当然のことと思う，と仮定する；（権力など）を手に入れる；（責任など）を引き受ける
relax,くつろぐ；緩む；をくつろがせる；を緩める
satisfy,を満足させる；（条件など）を満たす
desire,を強く望む
succeed,（～に）成功する（in）；（～を）継承する（to）
concept,概念；考え；（商品・販売の）コンセプト
fashion,流行，ファッション；方法，流儀
device,装置，機器；方策；デバイス
charge,料金；世話；管理；告発
contrast,（～との）対照（with / to）
colleague,（職場の）同僚
pain,苦痛，痛み；苦悩；〔～s〕骨折り
bill,請求書；【英】勘定書；法案
content,内容，中身；コンテンツ
section,部門；部分；地区；欄
audience,〔集合的に〕聴衆，観客；視聴者
surface,表面；〔the ～〕外見
crop,〔しばしば～s〕作物；収穫高
topic,話題，トピック；主題
technique,技術；技巧；手法
status,地位；状態
option,選択（の自由）；選択肢
reward,報酬；報い
race,人種；民族；競争
crime,罪，犯罪；違法行為
conflict,争い；論争；不一致
struggle,闘い；懸命の努力
context,状況，背景；文脈
debate,討論，論争；討論会
fuel,燃料；勢いを増加させるもの
pollution,汚染，公害
trend,（～への）傾向（toward）；流行
balance,均衡，バランス；（体の）平衡；残高
traffic,交通；通行；交通［輸送］量；（不正）取引
strategy,戦略
basis,基礎；根拠；基準
consequence,〔通例～s〕結果；重大性
aim,目的，目標；狙い
ancestor,祖先；原型
gene,遺伝子
track,跡；軌道；【米】（鉄道の）番線；走路
revolution,革命；回転；（天体の）公転
progress,進歩；前進
cognitive,認知の
ideal,理想的な；観念的な
efficient,効率的な；有能な
universal,普遍的な；宇宙の；万能の
vast,莫大な；広大な
extra,追加の，余分の；別勘定の
entire,全体の，全部の；完全な
familiar,精通している；よく知られている
obvious,明らかな
moral,道徳（上）の，倫理的な；道徳的な
ordinary,一般の，普通の；並の
equal,（～に）等しい（to）；匹敵する；平等な
previous,以前の，前の
false,間違った；虚偽の；偽の
rare,まれな，珍しい；希少な
legal,法律の；合法の
independent,（～から）独立した（of / from）
extreme,極端な；極度の，過激な
actual,実際の，現実の
willing,いとわない，かまわないと思う
urban,都市の；都会的な
whereas,～するのに（対し），～する一方
predict,を予言［予測］する
examine,を調べる；を診察する；を尋問する
trust,を信頼する；を（信頼して）託す
stick,を動けなくする；を突き刺す；（～に）くっつく
emerge,現れる；明らかになる；台頭する
vary,さまざまである；変わる；を変える
release,を放出する；を解放する；を発表する
divide,を分ける；分かれる
enable,（人）が…できるようにする；を可能にする
judge,（を）判断する；に判決を下す
rely,頼る
engage,を従事させる；を（～として）雇う（as）；（～に）従事する（in / with）
shift,を変える，移す；変わる；移動する
adopt,を採用する；（態度など）をとる；を養子にする
acquire,を得る；を習得する
expand,（を）拡大する；（を）詳説する
refuse,を拒む；を断る；拒絶する
strike,の心を打つ；を襲う；を打つ；（に）ぶつかる
repeat,（を）繰り返す；を復唱する
consume,を消費する；を食べる，飲む
confuse,を混同する；を当惑させる
select,を選ぶ，えり抜く
evolve,（徐々に）発展する；進化する
convince,を納得［確信］させる
recall,を思い出す；を呼び戻す
destroy,を破壊する；（人）を破滅させる
preserve,を保存する；を保持する；を保護する
organize,を準備する；を組織する
warn,（人）に（～を）警告［注意］する（of / against）
address,（問題など）に対処する；に演説する；（手紙など）を（～宛てに）出す（to）
operate,を操作する；機能する；手術する
participate,参加する
surround,を取り巻く；にまつわる
flow,流れる；（～から）生じる（from）
bore,（人）を退屈させる，うんざりさせる
complain,（と）不平［苦情］を言う；訴える
host,を主催する；のホスト役を務める
combine,を（～と）結び付ける（with）；（～と）結び付く（with）
extend,を伸［延］ばす；伸びる；及ぶ
appreciate,を正当に評価する；を鑑賞する；を感謝する
target,（到達・攻撃）目標；的
element,要素，成分；元素；〔an / ofで〕少しの
principle,原則，原理；主義，信条
phenomenon,現象
atmosphere,〔the ～〕大気；雰囲気
origin,起源；源
personality,個性，性格
capacity,（最大）容量，収容能力；（潜在）能力
profit,利益；収益（率）；得
circumstance,〔通例～s〕状況，事情；境遇
manner,〔～s〕作法；方法；物腰
threat,脅威；（悪い）兆し；脅迫
resident,居住者；滞在者
wealth,富；資源；富裕
institution,機関；協会；施設；制度
authority,〔通例 the ～ties〕（関係）当局；権威；権限
vote,投票；投票結果；〔the ～〕選挙権
sight,光景；〔the ～s〕名所；見（え）ること；視野；視力
campaign,運動；軍事行動
fund,〔しばしば～s〕基金，資金
web,〔the W-〕ウェブ；（クモの）巣
symbol,象徴，シンボル；記号；標章
analysis,分析（結果）
version,（本・製品などの）版；解釈
perspective,観点，見方；大局観；遠近法
crisis,危機
disaster,災害；惨事
lecture,講義，講演；説教
psychology,心理学；心理（状態）
gender,（社会的・文化的）性，性別
custom,（社会的な）慣習；〔～s〕税関；〔～s〕関税
court,裁判所，法廷；裁判；宮廷；中庭
desert,砂漠；不毛の地
soil,土地，土壌；（悪事などの）温床
agriculture,農業；農学，畜産
fossil,化石；時代遅れの人［物］
document,（公）文書，書類；記録，資料
vocabulary,語彙
intelligent,聡明な；知能を有する
conscious,意識して，気づいて
capable,能力がある；有能な
accurate,正確な；精密な
fundamental,基本的な；必須の
artificial,人工の；不自然な
firm,確固たる；堅固な；安定した
overall,総合的な；全体的な
rural,田舎の，田園の
military,軍の，軍事（用）の
nuclear,核の，原子力の
biological,生物学（上）の
constant,絶え間ない；一定の
severe,（人・規律・事態・天気などが）厳しい；猛烈な
visual,視覚の；目に見える
enormous,莫大な，巨大な
convenient,便利な，都合のいい
domestic,家庭の；国内の；（動物が）飼いならされた
mass,大規模な，大量の；大衆（向け）の
typical,典型的な；（～に）特有の（of）
overseas,海外へ［に，で］
nevertheless,それにもかかわらず
demonstrate,を論証［証明］する；デモをする
behave,振る舞う；作動する
educate,を教育する；に教える；（能力など）を養う
purchase,を購入する
recommend,を勧める
admit,（を）（しぶしぶ）認める；に（～への）入場［入学など］を認める（to / into）
generate,を生み出す；（電気など）を発生させる
explore,（を）調査［探究］する；（を）探検［探査］する
amaze,をびっくりさせる
tear,を引き裂く；裂ける
settle,を解決する；（に）移り住む；を落ち着かせる
afford,を持つ［する］余裕がある；を与える
conclude,と結論づける；を締めくくる；を締結する
advertise,を宣伝する；（～を求める）広告を出す（for）
encounter,に遭遇する；に（思いがけず）出会う
remind,に思い出させる
locate,〔受身形で〕位置する；の位置を探し当てる
aid,を援助する，助ける
bite,（を）かむ，（に）かみつく；（を）刺す
deliver,を配達する；（演説・講義）をする；子を産む
perceive,に気づく；を知覚する；を理解する
distinguish,を区別する
imply,を暗に意味する；を必然的に伴う
handle,を処理する，扱う；を論じる；を商う
praise,を（～のことで）賞賛する（for）；賛美する
appeal,訴える；抗議する；（上級審に）上訴する
insist,（を）強く主張する；要求する
compete,競う；〔通例否定文で〕（～に）匹敵する（with）
rank,を位置づける，評価する；（ある地位に）位置する
deny,を否定する；を拒む
reject,を拒否する
intend,を意図する
expose,をさらす；を暴露する；を露出する
favor,に賛成する；を好む；をひいきする
inspire,（人）を奮起させる；を喚起する
propose,を提案する；をもくろむ；結婚を申し込む
spell,（語）をつづる；という語になる
breathe,呼吸する；を吸う
repair,を修理する；を修復する
consist,（～から）成る（of）；（～に）ある（in）
comment,意見，コメント；批判
instruction,〔通例～s〕指示；〔～s〕（製品の）使用書
religion,宗教；信条；信仰（心）
neighborhood,地域；近所
laboratory,実験室，研究室
presence,存在；出席；面前
confidence,自信；信頼；秘密
harm,害，損害
instrument,器具；楽器
category,部類，区分；範疇
capital,資本；首都；大文字
outcome,結果；成果
notion,概念，観念；見解；意向
review,（書物などの）論評；再調査；【米】復習
trait,特性
diversity,多様性；相違点
victim,犠牲（者），被害者
occasion,場合，時；行事；機会
facility,施設，設備；機能；才能
stock,在庫品；蓄え；株
conference,会議；協議
humanity,人類；人間性；人情；〔（the） ～ties〕人文科学
dialect,方言
proportion,割合；部分；釣り合い
tip,助言，秘訣；チップ；先端
lawyer,弁護士
stuff,（漠然と）物；素材；素質
comfort,快適さ；慰め
philosophy,哲学；原理；人生観
mammal,哺乳動物
quantity,量；分量
landscape,風景；領域；状況
tribe,部族；仲間
organ,器官，臓器；組織；（パイプ）オルガン
trial,試み，（品質・性能などの）試験；裁判；試用期間
norm,規範；標準
code,規範；暗号；法典
substance,物質；実体；趣旨
multiple,多様な；種々雑多な
numerous,非常に数の多い
narrow,狭い；細い；限られた
widespread,広範囲にわたる；広く普及した
sufficient,（～に；…するのに）十分な（for；to do）
proper,適切な；正式の；〔名詞の後ろで〕主要な；（～に）固有の（to）
linguistic,言語の，言語学の
annual,年1回の，例年の；1年間の
contemporary,現代の；同時代の；同年輩の
contrary,（～と）反対の（to）
strict,（規則などが）厳しい；厳格な
civil,市民の；民間の；民事の
odd,奇妙な；奇数の
unknown,不明の；（～に）知られていない（to），無名の
superior,よりすぐれた
sensitive,敏感な；神経質な；微妙な
violent,（人・気質などが）激しい；暴力的な
virtual,仮想の；事実上の
regardless,（～に）かまわない，無頓着な（of）
immediate,即座の；当面の；すぐそばの；直接の
crucial,重要な
somewhat,いくぶん，多少
interpret,を解釈する；（を）通訳する
translate,を翻訳する；を（～に）変える（into）
concentrate,（を）集中する
request,に（…するように）頼む（to do）；を要請する
criticize,を批判する；を批評する
overcome,を克服する
obtain,を得る
inform,に知らせる；情報を提供する
ensure,を確実にする；を守る
announce,を発表［公表］する，知らせる；（物事が）を告げる
grant,（人）に（許可・権利など）を与える；を認める
freeze,凍る；を凍らせる；（計画・資金など）を凍結する
oppose,に反対する；を対抗［対比］させる
differ,異なる
hate,をひどく嫌う；を残念に思う
emphasize,を強調する；を重視する
employ,を雇う；を使う
credit,（功績など）を（～に）帰する（to）；を信じる
transform,を変える；変わる
construct,を建設する；を構成する
arise,生じる
beat,を打ち負かす；（を）打つ，たたく
regret,を後悔する
alter,を変える；変わる
absorb,を吸収する；を併合する；を夢中にさせる
disappoint,を失望させる；（希望など）をくじく
cure,を治す；を取り除く；（病気が）治る
transport,を輸送する；を運ぶ
rush,急いで行く；性急に行動する；をせき立てる
hang,を掛ける；を絞首刑にする；垂れ（下が）る
blame,を責める；の責任を負わせる
ban,を（法的に）禁止する；を締め出す
fascinate,を魅了する
recover,回復する；を取り戻す
celebrate,を祝う；を挙行する
manufacture,を製造する；をでっち上げる
interact,影響し合う；相互に作用する
arrange,の段取りをつける；を手配する；を配置する
adjust,を調整する；を適合させる；順応する
confirm,を確認する；を裏づける
insight,見識，理解（力）；洞察力
innovation,革新；新機軸
budget,予算；経費
fee,料金；謝礼
expense,経費；費用；犠牲
debt,借金，負債；恩義
loan,貸付金，融資；貸すこと
duty,義務；〔しばしば～ties〕職務；関税
alarm,不安，恐れ；警報装置
emergency,緊急（事態）
democracy,民主主義，民主政治；民主国家
minister,大臣；（プロテスタント系の）聖職者
fellow,仲間，同僚；同級生；男
candidate,（～の）候補（者）（for）；志願者
corporation,（大）企業；法人
stereotype,固定観念；決まり文句
route,道（筋）；路線，ルート；（～の）手段（to）
disorder,障害，（心身の）不調；混乱
depression,憂うつ；うつ病；不況；低気圧
weapon,兵器，武器
immigration,（他国からの）移民，移住；入国管理
barrier,（～に対する）障壁（against / to）；防壁
disadvantage,不利（な点）；障害；（信用などの）損失
mood,気分；機嫌；雰囲気
motion,動き，動作；運動；動議
routine,決まり切った仕事；いつもの手順
discipline,規律，しつけ；訓練；懲戒；学問分野
myth,作り話；神話
hypothesis,仮説；憶測
physician,【主に米】 医師；内科医
client,顧客；（弁護士などの）依頼人
colony,植民地；集団居住地；（動植物の）コロニー
statistics,統計；統計学
grain,穀物；粒；きめ
ingredient,材料，成分；（成功の）要因
treasure,宝物，財宝；財産
contract,契約（書）；協定
welfare,福祉，幸福
prime,主要な，最も重要な；最適な；極上の
curious,好奇心の強い；奇妙な
dramatic,劇的な；演劇の
distinct,明らかに異なる；明瞭な
anxious,心配して；切望して
vital,必要不可欠な；活気のある；生命にかかわる
conventional,従来の；月並みな
abstract,抽象的な
minor,重要でない；小さい
extraordinary,並はずれた；異常な，驚くべき
stable,安定した；動じない
flexible,融通の利く，柔軟な
brief,簡潔な；短い
aggressive,攻撃的な；意欲的な
visible,（目に）見える；明白な
unexpected,思いがけない，不意の
ethnic,民族の，人種の；民族特有の
alien,外国の；異質な；宇宙人
initial,初めの
exact,正確な；まさにその
precise,正確な；精密な；まさにその
latter,後者の，後半の
commit,〔commit oneselfまたは受身形で〕献身する；（罪など）を犯す；を投入する
stimulate,を刺激する
enhance,（価値など）を高める，増す
pursue,を追求する；に従事する
react,反応する；化学反応を起こす
disagree,不賛成である；意見が食い違う
stare,じっと見る；を見つめる
abandon,を捨てる；を放棄する，断念する
quit,をやめる；（場所）を去る
capture,をとらえる；をとりこにする
transfer,を移す；を伝える；移る；乗り換える
bother,を悩ます；（～を）気にかける（about / with）
persuade,を説得する；に確信させる
rent,を賃借りする；を賃貸しする
breed,を繁殖させる，育てる；繁殖する
invest,（を）投資する；に（～を）与える（with）
reserve,を予約する；を取っておく；（判断など）を保留する
trace,（足跡・起源など）をたどる；を捜し出す
illustrate,を説明する；に挿絵を入れる
advise,に忠告［助言］する；（を）助言する
convey,を伝える；を運ぶ，運搬する
attach,を（取り）付ける；を付与する
stretch,を伸ばす；を広げる；伸びる；及ぶ
puzzle,を当惑させる
disturb,をかき乱す；を妨害する；を動揺させる
crash,衝突する，墜落する；をぶつけて壊す
cope,うまく処理する
permit,を許可する
impress,を感動させる；に印象を与える
suspect,ではないかと思う；（人）を疑う
upset,を動揺させる；をだめにする
frighten,（人）を怖がらせる
import,を輸入する；を取り込む
export,（を）輸出する
investigate,を調査する；を究明する；（～を）調査する（into）
monitor,を監視する；を傍受する
calculate,を計算する；を予測する
eliminate,を取り除く
ease,を軽減する；和らぐ；緩む
launch,を開始する；を売り出す；を発射する
sequence,連続；一連（のもの）
therapy,療法；心理療法
symptom,症状；兆候
incident,出来事，事件；紛争
witness,目撃者；証人；証拠，証言
sum,（金）額；合計；要点
burden,負担；（重い）義務；積み荷
tone,口調；音色；雰囲気；色調
honor,光栄；名誉；敬意
award,（～の）賞（for）；（証書などの）授与
priority,優先（事項）
logic,論理；道理；論理学
minimum,最小限度
exception,（～の）例外（to）
clue,（～の）手がかり（to / about）；（パズルの）ヒント
bond,絆；債券；束縛；接着剤
virus,ウイルス；（感染症の）病原体
surgery,（外科）手術；外科，外科医学
insurance,保険；保険料；保険金
frame,枠，（額）縁；骨組み；体格
shelter,避難（所），保護
territory,領土；領域；なわばり
boundary,境界（線）；〔通例～ries〕限界
habitat,生息地；（人の）居住地
district,地区；行政区
conservation,（動植物などの）保護；保存
harvest,収穫（物）；収穫期；漁獲高
predator,捕食動物；略奪者
trap,わな；苦境
trick,こつ；策略；いたずら；芸当
fault,〔通例one’s ～〕責任；欠点；誤り
discount,割引
bias,偏見；傾向
cooperation,協力，共同
patent,特許（権）；特許品
dialogue,対話，会話；意見の交換
component,構成要素；部品
reputation,評判；名声
verbal,言葉の；口頭での；動詞の
internal,内部の；国内の；内面的な
solid,しっかりした；硬い；固体の
remote,（～から）遠く離れた（from）；かけ離れた
principal,主要な；資本金の
sophisticated,高性能の，精巧な；洗練された
equivalent,等しい，相当する
rational,理性的な；合理的な
relevant,関係がある；適切な
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な；熱烈な
meaningful,意味のある
evil,邪悪な；有害な
extinct,絶滅した；廃止された
random,無作為の；手当たり次第の
raw,生の；未加工の
rude,無礼な；粗野な
mere,単なる，ほんの
tropical,熱帯の
forth,前へ，先へ；それ以降
possess,を所有している；の心をとらえる
dominate,を支配する；（～より）優勢である（over）
guarantee,を保証する
melt,溶ける；なごむ；を溶かす
embarrass,に恥ずかしい思いをさせる
discourage,（人）にやる気をなくさせる；を落胆させる
detect,を感知する；を見つけ出す；に気づく
devote,をささげる
urge,に（強く）促す；を強く主張する；を駆り立てる
lend,を貸す；（人）に（助言・援助など）を与える
restrict,を制限する
isolate,を孤立させる
accompany,に同行する；に付随する
exhaust,を疲れ果てさせる；を使い尽くす；排気する
annoy,を悩ます；〔受身形で〕腹が立つ
endanger,を危険にさらす
acknowledge,（事実など）を認める；に謝意を表す
admire,に（～のことで）敬服［感心］する（for）
evaluate,を評価する；を査定する
declare,を宣言する；を申告する
secure,を確保する；を守る
specialize,専門とする；【英】（～を）専攻する（in）
attribute,（結果など）を（～に）帰する（to）
pretend,（の）ふりをする
bury,を埋める；を埋葬する；を隠す
reverse,を逆転させる；を反対にする
resist,に抵抗する；〔通例否定文で〕を我慢する
scare,をおびえさせる；を脅す
imitate,をまねる；を模造する
assist,（を）援助する；を手伝う
resemble,に似ている
retire,（～から）引退する，退職する（from）；退く
neglect,をおろそかにする，怠る；を無視する
collapse,崩壊する；（人が）倒れる；を折り畳む
reform,を改革する；を改心させる
protest,（に）抗議する；を主張する
owe,に借りがある；のおかげである
sustain,を持続させる；を支える
assign,を割り当てる；を（～に）配属する（to）
accomplish,を成し遂げる
wisdom,知恵；賢明さ；学識
literacy,読み書きの能力；（特定分野の）知識
heritage,遺産
mission,使命；（外交）使節団；布教
license,免許（証）；許可
elite,〔通例the ～〕〔集合的に〕エリート
layer,層
motor,モーター；原動力
protein,たんぱく質
profession,職業；専門職；同業者仲間
editor,編集者；編集長
agent,仲介者，代理人；薬剤
globe,地球；世界；球
haven,避難所，保護区；港
row,列；（建物が並ぶ）通り
sacrifice,犠牲；いけにえ
means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入
session,集まり；（議会の）会期；（開会中の）議会
league,（競技）連盟；同盟
contest,コンテスト，競技（会）；争い
guard,警備員；警備隊；監視，警戒
opponent,（試合・論争などの）相手；反対者
glance,（～を）ちらっと見ること（at）
divorce,離婚；分離
tissue,（生物の）組織；ティッシュペーパー
liquid,液体
inequality,不平等；不公平な事柄
prejudice,（～に対する）偏見（against）
justice,公正，正義；司法
guideline,指針，ガイドライン；指導基準
platform,プラットフォーム；演壇；舞台
sector,（社会・経済などの）部門，セクター；（都市内の）地域
channel,チャンネル；伝達経路；海峡
glacier,氷河
primate,霊長目の動物
usage,（使）用法；語法；習慣
fortune,財産；幸運；運命
correlation,相互関係，相関（関係）
artistic,芸術的な
literary,文学の；文語の
classic,第一級の；典型的な；定番の
liberal,自由主義の；寛大な；一般教養の
concrete,具体的な；有形の
slight,わずかな；取るに足らない
federal,連邦（政府）の
primitive,原始的な；未開の
unfamiliar,（～に）不慣れな（with）；（～に）（よく）知られていない（to）
subtle,微妙な；（気体などが）希薄な
plain,明らかな；平易な；飾りのない；率直な
marine,海の；船舶の
apparent,明白な；一見～らしい
reluctant,気が進まない，嫌がる
temporary,一時的な
guilty,罪悪感のある；（～について）有罪の（of）
royal,王の
pure,純粋な；潔白な；まったくの
incredible,信じられない；すばらしい
eager,（～を）熱望して（for）；熱心な
adequate,十分な；適切な
via,～経由で；～の媒介で
assess,を評価する；を査定する
approve,賛成する；を承認する
remark,と述べる；（～について）意見を述べる（on / upon）
pose,（危険）を引き起こす；（問題など）を提起する；ポーズをとる；（～を）装う（as）
yield,をもたらす；を（～に）譲る（to）；（～に）屈する（to）
exhibit,を示す，見せる；を展示する
distribute,を（～に）分配する（to）；〔受身形で〕分布する
command,を命じる；を指揮する；（景色）を見渡せる
occupy,（空間・時間）を占める；を占領する
pop,ひょいと動く；不意に現れる；ポンとはじける
pile,を積み重ねる；積み重なる
greet,に挨拶する；を迎える
apologize,（～に；～のことで）謝る（to；for）；弁明する
frustrate,をいら立たせる；（計画・希望など）を挫折させる
relieve,を和らげる；〔受身形で〕（…して）安心する（to do）；を解放する
derive,由来する；を引き出す；を推論する
deserve,に値する
peer,（～を）じっと見る（at / into）
defeat,を負かす；を失敗させる
convert,を変える；を改宗［転向］させる；を交換する
wed,と結婚する；を（～と）結婚させる（to）
delight,を喜ばせる；（～を）大いに喜ぶ（in）
boost,を押し上げる；を増加させる
endure,に耐える；（に）持ちこたえる
correspond,一致する；（～に）相当する（to）；文通する
impose,を課す；を押しつける
rescue,を救う
resolve,を解決する；を決意する；を議決する
register,を記録する，登録する；（～に）登録する（for）
interrupt,を中断させる；（の）邪魔をする
rid,から（～を）取り除く，除去する（of）
prohibit,を禁止する
compose,を構成する；を創作する；を鎮静する
misunderstand,（を）誤解する
punish,を罰する；に損傷を与える
ruin,をだめにする；を破滅させる；破滅する
